task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	41/8f2124	370179	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (26_T1)	COMPLETED	0	2024-01-12 08:55:01.821	56.3s	47s	309.2%	731 MB	1.2 GB	4 GB	3.9 GB
25	f9/e74bb8	373128	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (21_T1)	COMPLETED	0	2024-01-12 08:55:58.172	54.9s	36s	293.7%	716.6 MB	1.1 GB	2.9 GB	2.9 GB
26	70/22d08d	375455	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (22_T1)	COMPLETED	0	2024-01-12 08:56:53.061	39.8s	37s	353.4%	732 MB	1.1 GB	3.5 GB	3.5 GB
27	89/7f926c	378494	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (23_T1)	COMPLETED	0	2024-01-12 08:57:32.883	37.3s	35s	347.4%	742.1 MB	1.1 GB	3.3 GB	3.2 GB
28	65/8decf4	381527	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (24_T1)	COMPLETED	0	2024-01-12 08:58:10.221	43.8s	41s	304.7%	729.3 MB	1.1 GB	3.4 GB	3.3 GB
31	ea/529aa7	384607	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (27_T1)	COMPLETED	0	2024-01-12 08:58:54.020	40.2s	36s	352.2%	723.5 MB	1.2 GB	3.5 GB	3.4 GB
32	c1/5daba2	387650	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (28_T1)	COMPLETED	0	2024-01-12 08:59:34.219	41.5s	39s	355.9%	739.4 MB	1.1 GB	3.8 GB	3.7 GB
33	3c/839ba0	390893	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (5_T1)	COMPLETED	0	2024-01-12 09:00:15.713	29.9s	29s	590.9%	593.6 MB	1.4 GB	1.8 GB	1.8 GB
34	43/458a17	393957	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (4_T1)	COMPLETED	0	2024-01-12 09:00:45.601	21.2s	20s	571.1%	445.1 MB	1.4 GB	1.2 GB	1.2 GB
35	9b/71f9c1	396586	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (7_T1)	COMPLETED	0	2024-01-12 09:01:06.783	27.1s	26s	582.3%	516.4 MB	1.4 GB	1.6 GB	1.6 GB
36	4e/3ba7d3	399492	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (6_new_T1)	COMPLETED	0	2024-01-12 09:01:33.875	17.9s	17s	267.7%	308.5 MB	1.3 GB	481.4 MB	467.3 MB
